Character,NFD,NFC,NFD Escaped,NFC Escaped,NFD Code Points,NFC Code Points,AnyAscii,Languages
"’ai’","’ai’","’ai’","\u2019\u0061\u0069\u2019","\u2019\u0061\u0069\u2019","U+2019 U+0061 U+0069 U+2019","U+2019 U+0061 U+0069 U+2019","'ai'","Dakelh"
"wh","wh","wh","\u0077\u0068","\u0077\u0068","U+0077 U+0068","U+0077 U+0068","wh","Dakelh,Nedutʼen / Witsuwitʼen,Tsilhqotʼin"
"z","z","z","\u007A","\u007A","U+007A","U+007A","z","Dakelh,Danezāgéʼ,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Dene Kʼe,Nɬeʔkepmxcín,Tseʼkhene,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Southern Tutchone,Tāłtān,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"á","á","á","\u0061\u0301","\u00E1","U+0061 U+0301","U+00E1","a","Danezāgéʼ,Haíɫzaqvḷa,Dene Kʼe,Nɬeʔkepmxcín,St̓át̓imcets,Nsyilxcən,Secwepemctsín,Southern Tutchone,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Lingít,X̱aad Kil / X̱aayda Kil"
"ą","ą","ą","\u0061\u0328","\u0105","U+0061 U+0328","U+0105","a","Danezāgéʼ,Dene Kʼe,Tseʼkhene,Southern Tutchone,Dane-Ẕaa"
"ą́","ą́","ą́","\u0061\u0328\u0301","\u0105\u0301","U+0061 U+0328 U+0301","U+0105 U+0301","a","Danezāgéʼ,Dene Kʼe,Southern Tutchone"
"ā́","ā́","ā́","\u0061\u0304\u0301","\u0101\u0301","U+0061 U+0304 U+0301","U+0101 U+0301","a","Danezāgéʼ,Southern Tutchone"
"â","â","â","\u0061\u0302","\u00E2","U+0061 U+0302","U+00E2","a","Danezāgéʼ,Southern Tutchone"
"ǎ","ǎ","ǎ","\u0061\u030C","\u01CE","U+0061 U+030C","U+01CE","a","Danezāgéʼ,Southern Tutchone"
"ą̄","ą̄","ą̄","\u0061\u0328\u0304","\u0105\u0304","U+0061 U+0328 U+0304","U+0105 U+0304","a","Danezāgéʼ,Southern Tutchone"
"ą̄́","ą̄́","ą̄́","\u0061\u0328\u0304\u0301","\u0105\u0304\u0301","U+0061 U+0328 U+0304 U+0301","U+0105 U+0304 U+0301","a","Danezāgéʼ"
"ą̂","ą̂","ą̂","\u0061\u0328\u0302","\u0105\u0302","U+0061 U+0328 U+0302","U+0105 U+0302","a","Danezāgéʼ"
"ą̌","ą̌","ą̌","\u0061\u0328\u030C","\u0105\u030C","U+0061 U+0328 U+030C","U+0105 U+030C","a","Danezāgéʼ"
"chʼ","chʼ","chʼ","\u0063\u0068\u02BC","\u0063\u0068\u02BC","U+0063 U+0068 U+02BC","U+0063 U+0068 U+02BC","ch'","Danezāgéʼ,Southern Tutchone"
"é","é","é","\u0065\u0301","\u00E9","U+0065 U+0301","U+00E9","e","Danezāgéʼ,Dene Kʼe,Nɬeʔkepmxcín,St̓át̓imcets,Secwepemctsín,Southern Tutchone,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Lingít"
"ę","ę","ę","\u0065\u0328","\u0119","U+0065 U+0328","U+0119","e","Danezāgéʼ,Dene Kʼe,Tseʼkhene,Southern Tutchone,Dane-Ẕaa"
"ę́","ę́","ę́","\u0065\u0328\u0301","\u0119\u0301","U+0065 U+0328 U+0301","U+0119 U+0301","e","Danezāgéʼ"
"ḗ","ḗ","ḗ","\u0065\u0304\u0301","\u1E17","U+0065 U+0304 U+0301","U+1E17","e","Danezāgéʼ,Southern Tutchone"
"ê","ê","ê","\u0065\u0302","\u00EA","U+0065 U+0302","U+00EA","e","Danezāgéʼ,Southern Tutchone"
"ě","ě","ě","\u0065\u030C","\u011B","U+0065 U+030C","U+011B","e","Danezāgéʼ,Southern Tutchone"
"ę̄","ę̄","ę̄","\u0065\u0328\u0304","\u0119\u0304","U+0065 U+0328 U+0304","U+0119 U+0304","e","Danezāgéʼ"
"ę̄́","ę̄́","ę̄́","\u0065\u0328\u0304\u0301","\u0119\u0304\u0301","U+0065 U+0328 U+0304 U+0301","U+0119 U+0304 U+0301","e","Danezāgéʼ"
"ę̂","ę̂","ę̂","\u0065\u0328\u0302","\u0119\u0302","U+0065 U+0328 U+0302","U+0119 U+0302","e","Danezāgéʼ"
"ę̌","ę̌","ę̌","\u0065\u0328\u030C","\u0119\u030C","U+0065 U+0328 U+030C","U+0119 U+030C","e","Danezāgéʼ"
"f","f","f","\u0066","\u0066","U+0066","U+0066","f","Danezāgéʼ,Dene Kʼe"
"í","í","í","\u0069\u0301","\u00ED","U+0069 U+0301","U+00ED","i","Danezāgéʼ,Haíɫzaqvḷa,Nɬeʔkepmxcín,St̓át̓imcets,Nsyilxcən,Secwepemctsín,Southern Tutchone,Lingít,X̱aad Kil / X̱aayda Kil"
"į","į","į","\u0069\u0328","\u012F","U+0069 U+0328","U+012F","i","Danezāgéʼ,Tseʼkhene,Southern Tutchone"
"į́","į́","į́","\u0069\u0328\u0301","\u012F\u0301","U+0069 U+0328 U+0301","U+012F U+0301","i","Danezāgéʼ"
"ī","ī","ī","\u0069\u0304","\u012B","U+0069 U+0304","U+012B","i","Danezāgéʼ,Southern Tutchone,Tāłtān"
"ī́","ī́","ī́","\u0069\u0304\u0301","\u012B\u0301","U+0069 U+0304 U+0301","U+012B U+0301","i","Danezāgéʼ,Southern Tutchone"
"î","î","î","\u0069\u0302","\u00EE","U+0069 U+0302","U+00EE","i","Danezāgéʼ,Southern Tutchone"
"ǐ","ǐ","ǐ","\u0069\u030C","\u01D0","U+0069 U+030C","U+01D0","i","Danezāgéʼ,Southern Tutchone"
"į̄","į̄","į̄","\u0069\u0328\u0304","\u012F\u0304","U+0069 U+0328 U+0304","U+012F U+0304","i","Danezāgéʼ"
"į̄́","į̄́","į̄́","\u0069\u0328\u0304\u0301","\u012F\u0304\u0301","U+0069 U+0328 U+0304 U+0301","U+012F U+0304 U+0301","i","Danezāgéʼ"
"į̂","į̂","į̂","\u0069\u0328\u0302","\u012F\u0302","U+0069 U+0328 U+0302","U+012F U+0302","i","Danezāgéʼ"
"į̌","į̌","į̌","\u0069\u0328\u030C","\u012F\u030C","U+0069 U+0328 U+030C","U+012F U+030C","i","Danezāgéʼ"
"kʼ","kʼ","kʼ","\u006B\u02BC","\u006B\u02BC","U+006B U+02BC","U+006B U+02BC","k'","Danezāgéʼ,Southern Tutchone"
"ł","ł","ł","\u0142","\u0142","U+0142","U+0142","l","Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Dene Kʼe,Nɬeʔkepmxcín,kwakiutl,Kwak̕wala,kyuquot-checleseht,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Nsyilxcən,Tāłtān"
"ó","ó","ó","\u006F\u0301","\u00F3","U+006F U+0301","U+00F3","o","Danezāgéʼ,Dene Kʼe,Nɬeʔkepmxcín,St̓át̓imcets,Secwepemctsín,Southern Tutchone"
"ǫ","ǫ","ǫ","\u006F\u0328","\u01EB","U+006F U+0328","U+01EB","o","Danezāgéʼ,Dene Kʼe,Tseʼkhene,Southern Tutchone,Dane-Ẕaa"
"ǫ́","ǫ́","ǫ́","\u006F\u0328\u0301","\u01EB\u0301","U+006F U+0328 U+0301","U+01EB U+0301","o","Danezāgéʼ,Dene Kʼe"
"ṓ","ṓ","ṓ","\u006F\u0304\u0301","\u1E53","U+006F U+0304 U+0301","U+1E53","o","Danezāgéʼ,Southern Tutchone"
"ô","ô","ô","\u006F\u0302","\u00F4","U+006F U+0302","U+00F4","o","Danezāgéʼ,Southern Tutchone"
"ǒ","ǒ","ǒ","\u006F\u030C","\u01D2","U+006F U+030C","U+01D2","o","Danezāgéʼ,Southern Tutchone"
"ǭ","ǭ","ǭ","\u006F\u0328\u0304","\u01ED","U+006F U+0328 U+0304","U+01ED","o","Danezāgéʼ"
"ǭ́","ǭ́","ǭ́","\u006F\u0328\u0304\u0301","\u01ED\u0301","U+006F U+0328 U+0304 U+0301","U+01ED U+0301","o","Danezāgéʼ"
"ǫ̂","ǫ̂","ǫ̂","\u006F\u0328\u0302","\u01EB\u0302","U+006F U+0328 U+0302","U+01EB U+0302","o","Danezāgéʼ"
"ǫ̌","ǫ̌","ǫ̌","\u006F\u0328\u030C","\u01EB\u030C","U+006F U+0328 U+030C","U+01EB U+030C","o","Danezāgéʼ"
"r","r","r","\u0072","\u0072","U+0072","U+0072","r","Danezāgéʼ,Dene Kʼe,St̓át̓imcets,Nsyilxcən,Secwepemctsín,Southern Tutchone"
"tʼ","tʼ","tʼ","\u0074\u02BC","\u0074\u02BC","U+0074 U+02BC","U+0074 U+02BC","t'","Danezāgéʼ,Southern Tutchone"
"tlʼ","tlʼ","tlʼ","\u0074\u006C\u02BC","\u0074\u006C\u02BC","U+0074 U+006C U+02BC","U+0074 U+006C U+02BC","tl'","Danezāgéʼ,Southern Tutchone"
"tsʼ","tsʼ","tsʼ","\u0074\u0073\u02BC","\u0074\u0073\u02BC","U+0074 U+0073 U+02BC","U+0074 U+0073 U+02BC","ts'","Danezāgéʼ,Southern Tutchone"
"ú","ú","ú","\u0075\u0301","\u00FA","U+0075 U+0301","U+00FA","u","Danezāgéʼ,Haíɫzaqvḷa,Dene Kʼe,Nɬeʔkepmxcín,St̓át̓imcets,Nsyilxcən,Secwepemctsín,Southern Tutchone,Lingít,X̱aad Kil / X̱aayda Kil"
"ų","ų","ų","\u0075\u0328","\u0173","U+0075 U+0328","U+0173","u","Danezāgéʼ,Dene Kʼe,Tseʼkhene,Southern Tutchone"
"ų́","ų́","ų́","\u0075\u0328\u0301","\u0173\u0301","U+0075 U+0328 U+0301","U+0173 U+0301","u","Danezāgéʼ"
"ū","ū","ū","\u0075\u0304","\u016B","U+0075 U+0304","U+016B","u","Danezāgéʼ,Southern Tutchone,Tāłtān"
"ū́","ū́","ū́","\u0075\u0304\u0301","\u016B\u0301","U+0075 U+0304 U+0301","U+016B U+0301","u","Danezāgéʼ,Southern Tutchone"
"û","û","û","\u0075\u0302","\u00FB","U+0075 U+0302","U+00FB","u","Danezāgéʼ,Southern Tutchone"
"ǔ","ǔ","ǔ","\u0075\u030C","\u01D4","U+0075 U+030C","U+01D4","u","Danezāgéʼ,Southern Tutchone"
"ų̄","ų̄","ų̄","\u0075\u0328\u0304","\u0173\u0304","U+0075 U+0328 U+0304","U+0173 U+0304","u","Danezāgéʼ"
"ų̄́","ų̄́","ų̄́","\u0075\u0328\u0304\u0301","\u0173\u0304\u0301","U+0075 U+0328 U+0304 U+0301","U+0173 U+0304 U+0301","u","Danezāgéʼ"
"ų̂","ų̂","ų̂","\u0075\u0328\u0302","\u0173\u0302","U+0075 U+0328 U+0302","U+0173 U+0302","u","Danezāgéʼ"
"ų̌","ų̌","ų̌","\u0075\u0328\u030C","\u0173\u030C","U+0075 U+0328 U+030C","U+0173 U+030C","u","Danezāgéʼ"
"ÿ","ÿ","ÿ","\u0079\u0308","\u00FF","U+0079 U+0308","U+00FF","y","Danezāgéʼ,Lingít"
"ʼ","ʼ","ʼ","\u02BC","\u02BC","U+02BC","U+02BC","'","Danezāgéʼ,Southern Tutchone"
"aa","aa","aa","\u0061\u0061","\u0061\u0061","U+0061 U+0061","U+0061 U+0061","aa","diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kyuquot-checleseht,Nisg̱aʼa,Nuxalk,Sgüüx̱s,Sm'algya̱x,Lingít,Dane-Ẕaa"
"b̓","b̓","b̓","\u0062\u0313","\u0062\u0313","U+0062 U+0313","U+0062 U+0313","b","diitiidʔaaʔtx̣"
"c̓","c̓","c̓","\u0063\u0313","\u0063\u0313","U+0063 U+0313","U+0063 U+0313","c","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Kwak̕wala,Nsyilxcən,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"č","č","č","\u0063\u030C","\u010D","U+0063 U+030C","U+010D","c","diitiidʔaaʔtx̣,nuučaan̓uł,Éy7á7juuthem,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"č̓","č̓","č̓","\u0063\u030C\u0313","\u010D\u0313","U+0063 U+030C U+0313","U+010D U+0313","c","diitiidʔaaʔtx̣,nuučaan̓uł,Éy7á7juuthem,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"d̓","d̓","d̓","\u0064\u0313","\u0064\u0313","U+0064 U+0313","U+0064 U+0313","d","diitiidʔaaʔtx̣"
"ee","ee","ee","\u0065\u0065","\u0065\u0065","U+0065 U+0065","U+0065 U+0065","ee","diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kyuquot-checleseht,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nɬeʔkepmxcín,Sgüüx̱s,Sm'algya̱x,Lingít,X̱aad Kil / X̱aayda Kil"
"ii","ii","ii","\u0069\u0069","\u0069\u0069","U+0069 U+0069","U+0069 U+0069","ii","diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,kyuquot-checleseht,St̓át̓imcets,Nisg̱aʼa,Nuxalk,Sgüüx̱s,Sm'algya̱x,Dane-Ẕaa"
"kʷ","kʷ","kʷ","\u006B\u02B7","\u006B\u02B7","U+006B U+02B7","U+006B U+02B7","kw","diitiidʔaaʔtx̣,nuučaan̓uł,Éy7á7juuthem,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Kwak̕wala,Nsyilxcən,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"k̓","k̓","k̓","\u006B\u0313","\u006B\u0313","U+006B U+0313","U+006B U+0313","k","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,St̓át̓imcets,Nsyilxcən,Secwepemctsín,ʼWuik̓ala"
"k̓ʷ","k̓ʷ","k̓ʷ","\u006B\u0313\u02B7","\u006B\u0313\u02B7","U+006B U+0313 U+02B7","U+006B U+0313 U+02B7","kw","diitiidʔaaʔtx̣,nuučaan̓uł,Éy7á7juuthem,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Kwak̕wala,Nsyilxcən,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"l̓","l̓","l̓","\u006C\u0313","\u006C\u0313","U+006C U+0313","U+006C U+0313","l","diitiidʔaaʔtx̣,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,St̓át̓imcets,Kwak̕wala,Nisg̱aʼa,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"ƛ","ƛ","ƛ","\u019B","\u019B","U+019B","U+019B","l","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,Éy7á7juuthem,kyuquot-checleseht,Kwak̕wala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"ƛ̓","ƛ̓","ƛ̓","\u019B\u0313","\u019B\u0313","U+019B U+0313","U+019B U+0313","l","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,Éy7á7juuthem,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Kwak̕wala,Nsyilxcən"
"m̓","m̓","m̓","\u006D\u0313","\u006D\u0313","U+006D U+0313","U+006D U+0313","m","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,kyuquot-checleseht,St̓át̓imcets,Kwak̕wala,Nisg̱aʼa,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"n̓","n̓","n̓","\u006E\u0313","\u006E\u0313","U+006E U+0313","U+006E U+0313","n","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,kyuquot-checleseht,St̓át̓imcets,Kwak̕wala,Nisg̱aʼa,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"p̓","p̓","p̓","\u0070\u0313","\u0070\u0313","U+0070 U+0313","U+0070 U+0313","p","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"q","q","q","\u0071","\u0071","U+0071","U+0071","q","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Kwak̕wala,Nsyilxcən,Nuxalk,Secwepemctsín,Tsilhqotʼin,ʼWuik̓ala"
"qʷ","qʷ","qʷ","\u0071\u02B7","\u0071\u02B7","U+0071 U+02B7","U+0071 U+02B7","qw","diitiidʔaaʔtx̣,nuučaan̓uł,Éy7á7juuthem,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Kwak̕wala,Nsyilxcən,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q̓","q̓","q̓","\u0071\u0313","\u0071\u0313","U+0071 U+0313","U+0071 U+0313","q","diitiidʔaaʔtx̣,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Kwak̕wala,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"q̓ʷ","q̓ʷ","q̓ʷ","\u0071\u0313\u02B7","\u0071\u0313\u02B7","U+0071 U+0313 U+02B7","U+0071 U+0313 U+02B7","qw","diitiidʔaaʔtx̣,Éy7á7juuthem,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Kwak̕wala,Nsyilxcən,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"š","š","š","\u0073\u030C","\u0161","U+0073 U+030C","U+0161","s","diitiidʔaaʔtx̣,nuučaan̓uł,Éy7á7juuthem,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"t̓","t̓","t̓","\u0074\u0313","\u0074\u0313","U+0074 U+0313","U+0074 U+0313","t","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"uu","uu","uu","\u0075\u0075","\u0075\u0075","U+0075 U+0075","U+0075 U+0075","uu","diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,kyuquot-checleseht,Nisg̱aʼa,Nuxalk,Sgüüx̱s,Sm'algya̱x,Dane-Ẕaa"
"w̓","w̓","w̓","\u0077\u0313","\u0077\u0313","U+0077 U+0313","U+0077 U+0313","w","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,kyuquot-checleseht,St̓át̓imcets,Kwak̕wala,Nisg̱aʼa,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"x","x","x","\u0078","\u0078","U+0078","U+0078","x","diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,St̓át̓imcets,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Lingít,Tsilhqotʼin,ʼWuik̓ala"
"xʷ","xʷ","xʷ","\u0078\u02B7","\u0078\u02B7","U+0078 U+02B7","U+0078 U+02B7","xw","diitiidʔaaʔtx̣,nuučaan̓uł,Éy7á7juuthem,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Kwak̕wala,Nsyilxcən,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"x̣","x̣","x̣","\u0078\u0323","\u0078\u0323","U+0078 U+0323","U+0078 U+0323","x","diitiidʔaaʔtx̣,nuučaan̓uł,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"x̣ʷ","x̣ʷ","x̣ʷ","\u0078\u0323\u02B7","\u0078\u0323\u02B7","U+0078 U+0323 U+02B7","U+0078 U+0323 U+02B7","xw","diitiidʔaaʔtx̣,nuučaan̓uł,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"y̓","y̓","y̓","\u0079\u0313","\u0079\u0313","U+0079 U+0313","U+0079 U+0313","y","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Éy7á7juuthem,Nɬeʔkepmxcín,kyuquot-checleseht,St̓át̓imcets,Kwak̕wala,Nisg̱aʼa,Nsyilxcən,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"ʔ","ʔ","ʔ","\u0294","\u0294","U+0294","U+0294","'","diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Nsyilxcən,she shashishalhem,Dane-Ẕaa,Tsilhqotʼin,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"ʕ","ʕ","ʕ","\u0295","\u0295","U+0295","U+0295","`","diitiidʔaaʔtx̣,nuučaan̓uł,Nɬeʔkepmxcín,kyuquot-checleseht,Nsyilxcən"
"ḥ","ḥ","ḥ","\u0068\u0323","\u1E25","U+0068 U+0323","U+1E25","h","nuučaan̓uł,kyuquot-checleseht,Nsyilxcən"
"g̱","g̱","g̱","\u0067\u0331","\u0067\u0331","U+0067 U+0331","U+0067 U+0331","g","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,kwakiutl,Kwak̕wala,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Lingít"
"hl","hl","hl","\u0068\u006C","\u0068\u006C","U+0068 U+006C","U+0068 U+006C","hl","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,Nisg̱aʼa"
"k'","k'","k'","\u006B\u0027","\u006B\u0027","U+006B U+0027","U+006B U+0027","k'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Dene Kʼe,Dakelh,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene"
"kw'","kw'","kw'","\u006B\u0077\u0027","\u006B\u0077\u0027","U+006B U+0077 U+0027","U+006B U+0077 U+0027","kw'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Dakelh,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Tseʼkhene"
"ḵ","ḵ","ḵ","\u006B\u0331","\u1E35","U+006B U+0331","U+1E35","k","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,kwakiutl,Kwak̕wala,Nisg̱aʼa,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Lingít"
"ḵ'","ḵ'","ḵ'","\u006B\u0331\u0027","\u1E35\u0027","U+006B U+0331 U+0027","U+1E35 U+0027","k'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"'l","'l","'l","\u0027\u006C","\u0027\u006C","U+0027 U+006C","U+0027 U+006C","'l","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,Sgüüx̱s,Sm'algya̱x"
"'m","'m","'m","\u0027\u006D","\u0027\u006D","U+0027 U+006D","U+0027 U+006D","'m","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x"
