Confusable,Canonical Character,Languages
"Pˈ","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"Pˈ","P̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Pˈ","P’","Nuxalk"
"P̒","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"P̒","P̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"P̒","P’","Nuxalk"
"P̓","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"P̓","P̓","kwakiutl,Kwak̕wala"
"P̓","P’","Nuxalk"
"P̓","’P","ʼWuik̓ala"
"P̔","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"P̔","P̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"P̔","P’","Nuxalk"
"P̕","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"P̕","P̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"P̕","P’","Nuxalk"
"P՚","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"P՚","P̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"P՚","P’","Nuxalk"
"P’","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"P’","P̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"P＇","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"P＇","P’","Nuxalk"
"Q'","Q’","Nuxalk"
"QWʼ","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QWˈ","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QW̒","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QW̓","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QW̔","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QW̕","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QW՚","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QW’","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"QW＇","QW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Qw'","Qw’","Nuxalk"
"Qwʼ","Qw’","Nuxalk"
"Qwˈ","Qw’","Nuxalk"
"Qw̒","Qw’","Nuxalk"
"Qw̓","Qw’","Nuxalk"
"Qw̔","Qw’","Nuxalk"
"Qw̕","Qw’","Nuxalk"
"Qw՚","Qw’","Nuxalk"
"Qw’","Q̓w","Secwepemctsín"
"Qw＇","Qw’","Nuxalk"
"Qʼ","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Qʼ","Q̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Qʼ","Q’","Nuxalk"
"QʼV","Q̓V","Haíɫzaqvḷa"
"Qʼw","Q̓w","Secwepemctsín,St̓át̓imcets"
"Qʼʷ","Q̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Qˈ","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Qˈ","Q̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Qˈ","Q’","Nuxalk"
"QˈV","Q̓V","Haíɫzaqvḷa"
"Qˈw","Q̓w","Secwepemctsín,St̓át̓imcets"
"Qˈʷ","Q̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Q̍w","Q̓w","Secwepemctsín,St̓át̓imcets"
"Q̒","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Q̒","Q̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Q̒","Q’","Nuxalk"
"Q̒V","Q̓V","Haíɫzaqvḷa"
"Q̒w","Q̓w","Secwepemctsín,St̓át̓imcets"
"Q̒ʷ","Q̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Q̓","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Q̓","Q’","Nuxalk"
"Q̓","’Q","ʼWuik̓ala"
"Q̔","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Q̔","Q̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Q̔","Q’","Nuxalk"
"Q̔V","Q̓V","Haíɫzaqvḷa"
"Q̔w","Q̓w","Secwepemctsín,St̓át̓imcets"
"Q̔ʷ","Q̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Q̕","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Q̕","Q̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Q̕","Q’","Nuxalk"
"Q̕V","Q̓V","Haíɫzaqvḷa"
"Q̕w","Q̓w","Secwepemctsín,St̓át̓imcets"
"Q̕ʷ","Q̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Q՚","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Q՚","Q̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Q՚","Q’","Nuxalk"
"Q՚V","Q̓V","Haíɫzaqvḷa"
"Q՚w","Q̓w","Secwepemctsín,St̓át̓imcets"
"Q՚ʷ","Q̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Q’","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Q’","Q̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Q’V","Q̓V","Haíɫzaqvḷa"
"Q’w","Q̓w","Secwepemctsín,St̓át̓imcets"
"Q’ʷ","Q̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Q＇","Q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Q＇","Q’","Nuxalk"
"Rʼ","R̓","Secwepemctsín,St̓át̓imcets"
"Rˈ","R̓","Secwepemctsín,St̓át̓imcets"
"R̒","R̓","Secwepemctsín,St̓át̓imcets"
"R̔","R̓","Secwepemctsín,St̓át̓imcets"
"R̕","R̓","Secwepemctsín,St̓át̓imcets"
"R՚","R̓","Secwepemctsín,St̓át̓imcets"
"R’","R̓","Secwepemctsín,St̓át̓imcets"
"S","S","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"S'","S’","Lingít"
"S_","S̱","Tāłtān"
"Sh","Sh","Dakelh"
"S̠","S̱","Tāłtān"
"S̠","S̲","St̓át̓imcets"
"S̱","S̲","St̓át̓imcets"
"S̲","S̱","Tāłtān"
"T","T","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"T'","T'","Dakelh,Sgüüx̱s"
"T'","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"TLʼ","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TLˈ","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TL̒","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TL̓","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TL̔","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TL̕","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TL՚","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TL’","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TL＇","TL'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TSʼ","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TSˈ","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TS̒","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TS̓","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TS̔","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TS̕","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TS՚","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TS’","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TS＇","TS'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTHʼ","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTHˈ","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTH̒","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTH̓","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTH̔","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTH̕","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTH՚","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTH’","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"TTH＇","TTH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"T_","Ṯ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Tl","Tl","Dakelh"
"Tl'","Tl'","Dakelh"
"Tl'","Tl’","Nuxalk,Tāłtān"
"Tlʼ","Tl'","Dakelh,Nedutʼen / Witsuwitʼen,Nisg̱aʼa"
"Tlʼ","Tl’","Nuxalk,Tāłtān"
"Tlˈ","Tl'","Dakelh,Nisg̱aʼa"
"Tlˈ","Tl’","Nuxalk,Tāłtān"
"Tl̒","Tl'","Dakelh,Nisg̱aʼa"
"Tl̒","Tl’","Nuxalk,Tāłtān"
"Tl̓","Tl'","Dakelh"
"Tl̓","Tl’","Nuxalk,Tāłtān"
"Tl̔","Tl'","Dakelh,Nisg̱aʼa"
"Tl̔","Tl’","Nuxalk,Tāłtān"
"Tl̕","Tl'","Dakelh,Nisg̱aʼa"
"Tl̕","Tl’","Nuxalk,Tāłtān"
"Tl̷","Tł","kwakiutl,Kwak̕wala"
"Tl̷'","Tł'","Dene Kʼe"
"Tl̷ʼ","Tł'","Dene Kʼe"
"Tl̷ˈ","Tł'","Dene Kʼe"
"Tl̷̒","Tł'","Dene Kʼe"
"Tl̷̓","Tł'","Dene Kʼe"
"Tl̷̔","Tł'","Dene Kʼe"
"Tl̷̕","Tł'","Dene Kʼe"
"Tl̷՚","Tł'","Dene Kʼe"
"Tl̷’","Tł'","Dene Kʼe"
"Tl̷＇","Tł'","Dene Kʼe"
"Tl̸","Tł","kwakiutl,Kwak̕wala"
"Tl̸'","Tł'","Dene Kʼe"
"Tl̸ʼ","Tł'","Dene Kʼe"
"Tl̸ˈ","Tł'","Dene Kʼe"
"Tl̸̒","Tł'","Dene Kʼe"
"Tl̸̓","Tł'","Dene Kʼe"
"Tl̸̔","Tł'","Dene Kʼe"
"Tl̸̕","Tł'","Dene Kʼe"
"Tl̸՚","Tł'","Dene Kʼe"
"Tl̸’","Tł'","Dene Kʼe"
"Tl̸＇","Tł'","Dene Kʼe"
"Tl՚","Tl'","Dakelh,Nisg̱aʼa"
"Tl՚","Tl’","Nuxalk,Tāłtān"
"Tl’","Tl'","Dakelh,Nisg̱aʼa"
"Tl＇","Tl'","Dakelh,Nisg̱aʼa"
"Tl＇","Tl’","Nuxalk,Tāłtān"
"Ts","Ts","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Ts'","Ts'","Dakelh,Sgüüx̱s"
"Ts'","Ts’","Nuxalk,Tāłtān"
"Ts_","Ts̱","Tāłtān"
"Ts_'","Ts̱’","Tāłtān"
"Ts_ʼ","Ts̱’","Tāłtān"
"Ts_՚","Ts̱’","Tāłtān"
"Ts_＇","Ts̱’","Tāłtān"
"Tsʼ","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Tsʼ","Ts̓","Secwepemctsín,St̓át̓imcets"
"Tsʼ","Ts’","Nuxalk,Tāłtān"
"Tsˈ","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Tsˈ","Ts̓","Secwepemctsín,St̓át̓imcets"
"Tsˈ","Ts’","Nuxalk,Tāłtān"
"Ts̒","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Ts̒","Ts̓","Secwepemctsín,St̓át̓imcets"
"Ts̒","Ts’","Nuxalk,Tāłtān"
"Ts̓","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Ts̓","Ts’","Nuxalk,Tāłtān"
"Ts̔","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Ts̔","Ts̓","Secwepemctsín,St̓át̓imcets"
"Ts̔","Ts’","Nuxalk,Tāłtān"
"Ts̕","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Ts̕","Ts̓","Secwepemctsín,St̓át̓imcets"
"Ts̕","Ts’","Nuxalk,Tāłtān"
"Ts̠","Ts̱","Tāłtān"
"Ts̠'","Ts̱’","Tāłtān"
"Ts̠ʼ","Ts̱’","Tāłtān"
"Ts̠՚","Ts̱’","Tāłtān"
"Ts̠＇","Ts̱’","Tāłtān"
"Ts̱'","Ts̱’","Tāłtān"
"Ts̱ʼ","Ts̱’","Tāłtān"
"Ts̱՚","Ts̱’","Tāłtān"
"Ts̱＇","Ts̱’","Tāłtān"
"Ts̲","Ts̱","Tāłtān"
"Ts̲'","Ts̱’","Tāłtān"
"Ts̲ʼ","Ts̱’","Tāłtān"
"Ts̲՚","Ts̱’","Tāłtān"
"Ts̲＇","Ts̱’","Tāłtān"
"Ts՚","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Ts՚","Ts̓","Secwepemctsín,St̓át̓imcets"
"Ts՚","Ts’","Nuxalk,Tāłtān"
"Ts’","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Ts’","Ts̓","Secwepemctsín,St̓át̓imcets"
"Ts＇","Ts'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Ts＇","Ts’","Nuxalk,Tāłtān"
"Tł","Tł","kwakiutl,Kwak̕wala"
"Tłʼ","Tł'","Dene Kʼe"
"Tłˈ","Tł'","Dene Kʼe"
"Tł̒","Tł'","Dene Kʼe"
"Tł̓","Tł'","Dene Kʼe"
"Tł̔","Tł'","Dene Kʼe"
"Tł̕","Tł'","Dene Kʼe"
"Tł՚","Tł'","Dene Kʼe"
"Tł’","Tł'","Dene Kʼe"
"Tł＇","Tł'","Dene Kʼe"
"Tś","Ts̓","Secwepemctsín"
"Tʼ","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Tʼ","T̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Tʼ","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"Tʼl̷","T̕ł","kwakiutl,Kwak̕wala"
"Tʼl̸","T̕ł","kwakiutl,Kwak̕wala"
"Tʼs","T̕s","kwakiutl,Kwak̕wala"
"Tʼł","T̕ł","kwakiutl,Kwak̕wala"
"Tˈ","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Tˈ","T̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Tˈ","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"Tˈl̷","T̕ł","kwakiutl,Kwak̕wala"
"Tˈl̸","T̕ł","kwakiutl,Kwak̕wala"
"Tˈs","T̕s","kwakiutl,Kwak̕wala"
"Tˈł","T̕ł","kwakiutl,Kwak̕wala"
"T̒","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"T̒","T̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"T̒","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"T̒l̷","T̕ł","kwakiutl,Kwak̕wala"
"T̒l̸","T̕ł","kwakiutl,Kwak̕wala"
"T̒s","T̕s","kwakiutl,Kwak̕wala"
"T̒ł","T̕ł","kwakiutl,Kwak̕wala"
"T̓","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"T̓","T̓","kwakiutl,Kwak̕wala"
"T̓","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"T̓","’T","ʼWuik̓ala"
"T̓l̷","T̕ł","kwakiutl,Kwak̕wala"
"T̓l̸","T̕ł","kwakiutl,Kwak̕wala"
"T̓s","T̕s","kwakiutl,Kwak̕wala"
"T̓ł","T̕ł","kwakiutl,Kwak̕wala"
"T̔","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"T̔","T̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"T̔","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"T̔l̷","T̕ł","kwakiutl,Kwak̕wala"
"T̔l̸","T̕ł","kwakiutl,Kwak̕wala"
"T̔s","T̕s","kwakiutl,Kwak̕wala"
"T̔ł","T̕ł","kwakiutl,Kwak̕wala"
"T̕","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"T̕","T̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"T̕","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"T̕l̷","T̕ł","kwakiutl,Kwak̕wala"
"T̕l̸","T̕ł","kwakiutl,Kwak̕wala"
"T̕s","T̕s","kwakiutl,Kwak̕wala"
"T̕ł","T̕ł","kwakiutl,Kwak̕wala"
"T̠","Ṯ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"T̠s̱","T̲s̲","St̓át̓imcets"
"T̲","Ṯ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"T̲s̱","T̲s̲","St̓át̓imcets"
"T̵","Ŧ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"T̶","Ŧ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"T̷","Ⱦ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"T̸","Ⱦ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"T՚","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"T՚","T̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"T՚","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"T՚l̷","T̕ł","kwakiutl,Kwak̕wala"
"T՚l̸","T̕ł","kwakiutl,Kwak̕wala"
"T՚s","T̕s","kwakiutl,Kwak̕wala"
"T՚ł","T̕ł","kwakiutl,Kwak̕wala"
"T’","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"T’","T̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"T’l̷","T̕ł","kwakiutl,Kwak̕wala"
"T’l̸","T̕ł","kwakiutl,Kwak̕wala"
"T’s","T̕s","kwakiutl,Kwak̕wala"
"T’ł","T̕ł","kwakiutl,Kwak̕wala"
"T＇","T'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"T＇","T’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"U","U","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Uu","Uu","Sgüüx̱s"
"U¯","Ū","Southern Tutchone,Tāłtān"
"Uʼ","U̓","Haíɫzaqvḷa"
"Uˈ","U̓","Haíɫzaqvḷa"
"U̅","Ū","Southern Tutchone,Tāłtān"
"U̒","U̓","Haíɫzaqvḷa"
"U̓","Ú","Secwepemctsín"
"U̔","U̓","Haíɫzaqvḷa"
"U̕","U̓","Haíɫzaqvḷa"
"U̲","U̱","Tseʼkhene"
"U՚","U̓","Haíɫzaqvḷa"
"U’","U̓","Haíɫzaqvḷa"
"U‾","Ū","Southern Tutchone,Tāłtān"
"U︤","Ū","Tāłtān"
"U︥","Ū","Tāłtān"
"V̍","V́","St̓át̓imcets"
"V̓","V́","St̓át̓imcets"
"W","W","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"W_","W̱","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Wh","Wh","Dakelh"
"Wʼ","W'","Dene Kʼe"
