Character,NFD Code Points,NFC Code Points
"q̓ʷ","U+0071 U+0313 U+02B7","U+0071 U+0313 U+02B7"
"q’","U+0071 U+2019","U+0071 U+2019"
"r","U+0072","U+0072"
"r̓","U+0072 U+0313","U+0072 U+0313"
"s","U+0073","U+0073"
"sh","U+0073 U+0068","U+0073 U+0068"
"s̱","U+0073 U+0331","U+0073 U+0331"
"s̲","U+0073 U+0332","U+0073 U+0332"
"s’","U+0073 U+2019","U+0073 U+2019"
"t","U+0074","U+0074"
"t'","U+0074 U+0027","U+0074 U+0027"
"th","U+0074 U+0068","U+0074 U+0068"
"th'","U+0074 U+0068 U+0027","U+0074 U+0068 U+0027"
"tl","U+0074 U+006C","U+0074 U+006C"
"tl'","U+0074 U+006C U+0027","U+0074 U+006C U+0027"
"tll","U+0074 U+006C U+006C","U+0074 U+006C U+006C"
"tlʼ","U+0074 U+006C U+02BC","U+0074 U+006C U+02BC"
"tl̕","U+0074 U+006C U+0315","U+0074 U+006C U+0315"
"tl’","U+0074 U+006C U+2019","U+0074 U+006C U+2019"
"ts","U+0074 U+0073","U+0074 U+0073"
"ts'","U+0074 U+0073 U+0027","U+0074 U+0073 U+0027"
"tsʼ","U+0074 U+0073 U+02BC","U+0074 U+0073 U+02BC"
"tsˈ","U+0074 U+0073 U+02C8","U+0074 U+0073 U+02C8"
"ts̓","U+0074 U+0073 U+0313","U+0074 U+0073 U+0313"
"ts̕","U+0074 U+0073 U+0315","U+0074 U+0073 U+0315"
"ts̱","U+0074 U+0073 U+0331","U+0074 U+0073 U+0331"
"ts̱’","U+0074 U+0073 U+0331 U+2019","U+0074 U+0073 U+0331 U+2019"
"ts’","U+0074 U+0073 U+2019","U+0074 U+0073 U+2019"
"tth","U+0074 U+0074 U+0068","U+0074 U+0074 U+0068"
"tth'","U+0074 U+0074 U+0068 U+0027","U+0074 U+0074 U+0068 U+0027"
"tthʼ","U+0074 U+0074 U+0068 U+02BC","U+0074 U+0074 U+0068 U+02BC"
"tth’","U+0074 U+0074 U+0068 U+2019","U+0074 U+0074 U+0068 U+2019"
"tł","U+0074 U+0142","U+0074 U+0142"
"tł'","U+0074 U+0142 U+0027","U+0074 U+0142 U+0027"
"tŝ","U+0074 U+0073 U+0302","U+0074 U+015D"
"tŝ’","U+0074 U+0073 U+0302 U+2019","U+0074 U+015D U+2019"
"tʼ","U+0074 U+02BC","U+0074 U+02BC"
"tˈ","U+0074 U+02C8","U+0074 U+02C8"
"t̓","U+0074 U+0313","U+0074 U+0313"
"t̓h","U+0074 U+0313 U+0068","U+0074 U+0313 U+0068"
